host_since;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bedrooms;beds;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;instant_bookable
31/01/2017;3;87.640014;81.277545;f;1;t;Hells_Kitchen;Entire_apartment;Entire_home-apt;6;2;3;30;1125;0;93.812903;f
16/05/2016;3;87.640014;81.277545;f;1;f;Upper_West_Side;Entire_apartment;Entire_home-apt;4;1;1;30;120;0;93.812903;f
28/09/2014;1;67;50;f;1;t;Williamsburg;Entire_apartment;Entire_home-apt;2;2;1;20;1125;9;100;f
27/12/2017;3;87.640014;71;f;1;t;East_Village;Private_room_in_apartment;Private_room;2;1;1;30;1125;14;89;t
03/03/2016;3;100;90;f;125;f;Murray_Hill;Entire_condominium;Entire_home-apt;2;1;1;30;1125;7;100;f
09/10/2012;3;87.640014;81.277545;f;0;t;Crown_Heights;Entire_apartment;Entire_home-apt;2;1;1;30;30;10;93;f
04/05/2017;1;67;100;f;4;t;Williamsburg;Private_room_in_apartment;Private_room;2;1;1;30;365;77;94;t
23/01/2013;1;100;84;f;1;t;Bedford-Stuyvesant;Entire_apartment;Entire_home-apt;2;1;1;5;90;24;96;f
26/12/2017;3;87.640014;100;t;2;t;Bedford-Stuyvesant;Private_room_in_apartment;Private_room;1;3;1;4;200;83;98;t
13/01/2016;3;100;100;f;1;t;Crown_Heights;Private_room_in_apartment;Private_room;3;1;1;30;1125;2;100;f
31/08/2016;3;100;96;t;1;t;Bedford-Stuyvesant;Entire_apartment;Entire_home-apt;6;2;2;3;1125;90;98;f
12/11/2012;3;100;73;t;1;t;Bedford-Stuyvesant;Entire_house;Entire_home-apt;2;1;1;3;28;145;99;f
27/09/2012;1;80;75;t;2;t;Cobble_Hill;Entire_apartment;Entire_home-apt;2;1;1;2;1125;128;99;f
19/02/2017;1;50;77;f;3;f;Astoria;Private_room_in_house;Private_room;2;1;1;1;1125;119;92;f
27/12/2017;3;87.640014;81.277545;f;1;f;Williamsburg;Entire_apartment;Entire_home-apt;5;2;2;30;30;3;100;t
31/05/2017;3;87.640014;81.277545;f;3;f;Washington_Heights;Entire_apartment;Entire_home-apt;5;1;2;30;1125;3;100;t
27/12/2017;3;87.640014;81.277545;f;1;f;Morris_Park;Private_room_in_apartment;Private_room;4;1;2;30;1125;0;93.812903;t
10/12/2017;3;87.640014;81.277545;f;1;t;Gramercy;Entire_apartment;Entire_home-apt;2;1;1;30;31;0;93.812903;f
23/01/2016;3;87.640014;81.277545;f;1;t;Williamsburg;Private_room_in_apartment;Private_room;2;1;1;30;1125;11;98;f
16/11/2017;1;90;88;f;9;t;Lower_East_Side;Entire_apartment;Entire_home-apt;6;3;3;30;1125;5;100;f
28/12/2017;3;87.640014;81.277545;f;1;t;Upper_East_Side;Entire_apartment;Entire_home-apt;3;1;1;30;1125;2;100;t
13/04/2015;2;100;75;f;1;t;Clinton_Hill;Entire_townhouse;Entire_home-apt;5;3;3;4;14;28;96;f
30/09/2014;3;87.640014;100;t;2;t;Prospect_Heights;Private_room_in_apartment;Private_room;2;1;1;1;5;313;99;t
